name,party,role,number_filed
Bryan Hughes,R,Sen,276
Judith Zaffirini,D,Sen,275
Tan Parker,R,Sen,261
Mayes Middleton,R,Sen,260
Jose Menendez,D,Sen,251
Bob Hall,R,Sen,249
Royce West,D,Sen,247
Sarah Eckhardt,D,Sen,224
Paul Bettencourt,R,Sen,199
Molly Cook,D,Sen,192
