bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2005661,3172571,text,5772,text/html,Introduced,https://legiscan.com/TX/text/HB4792/id/3172571,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04792I.htm
2005715,3172617,text,7895,text/html,Introduced,https://legiscan.com/TX/text/HB4793/id/3172617,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04793I.htm
2005932,3172806,text,12556,text/html,Introduced,https://legiscan.com/TX/text/HB4794/id/3172806,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04794I.htm
2005886,3172768,text,15684,text/html,Introduced,https://legiscan.com/TX/text/HB4795/id/3172768,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04795I.htm
2005619,3176291,text,11109,text/html,Introduced,https://legiscan.com/TX/text/HB4796/id/3176291,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04796I.htm
2005945,3172816,text,68410,text/html,Introduced,https://legiscan.com/TX/text/HB4797/id/3172816,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04797I.htm
2005859,3172744,text,9235,text/html,Introduced,https://legiscan.com/TX/text/HB4798/id/3172744,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04798I.htm
2005746,3172644,text,72197,text/html,Introduced,https://legiscan.com/TX/text/HB4799/id/3172644,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04799I.htm
2005757,3172653,text,16297,text/html,Introduced,https://legiscan.com/TX/text/HB4800/id/3172653,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04800I.htm
2005665,3172575,text,15141,text/html,Introduced,https://legiscan.com/TX/text/HB4801/id/3172575,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04801I.htm
2005774,3172670,text,9530,text/html,Introduced,https://legiscan.com/TX/text/HB4802/id/3172670,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04802I.htm
2005608,3172524,text,7198,text/html,Introduced,https://legiscan.com/TX/text/HB4804/id/3172524,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04804I.htm
2005773,3172669,text,8955,text/html,Introduced,https://legiscan.com/TX/text/HB4805/id/3172669,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04805I.htm
2005615,3172530,text,176797,text/html,Introduced,https://legiscan.com/TX/text/HB4806/id/3172530,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04806I.htm
2005738,3176316,text,3639,text/html,Introduced,https://legiscan.com/TX/text/HB4808/id/3176316,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04808I.htm
2005613,3175996,text,6492,text/html,Introduced,https://legiscan.com/TX/text/HB4809/id/3175996,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04809I.htm
2005772,3172668,text,8240,text/html,Introduced,https://legiscan.com/TX/text/HB4810/id/3172668,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04810I.htm
2005697,3172600,text,9435,text/html,Introduced,https://legiscan.com/TX/text/HB4812/id/3172600,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04812I.htm
2005636,3172548,text,15851,text/html,Introduced,https://legiscan.com/TX/text/HB4813/id/3172548,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04813I.htm
2005718,3172620,text,8099,text/html,Introduced,https://legiscan.com/TX/text/HB4815/id/3172620,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04815I.htm
2005707,3172609,text,86401,text/html,Introduced,https://legiscan.com/TX/text/HB4818/id/3172609,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04818I.htm
2005700,3172603,text,9697,text/html,Introduced,https://legiscan.com/TX/text/HB4819/id/3172603,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04819I.htm
2005671,3176049,text,38291,text/html,Introduced,https://legiscan.com/TX/text/HB4820/id/3176049,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04820I.htm
